,연번,등급분류번호,게임물명,신청사,신청일자,결정일자,결정등급,접수번호,등급분류기관
278,78,GC-CC-NP-220902-009,Ghost Trick (고스트 트릭),게임피아(주),2022-08-19,2022-09-02,12세이용가,GC-DG-NP-22-00250,GCRB
279,79,GC-CC-NP-220902-008,룸즈 - 장난감 장인의 선택 (Rooms - The Toymaker＇s Mansion),넥스텝미디어주식회사,2022-08-18,2022-09-02,전체이용가,GC-DG-NP-22-00243,GCRB
280,80,GC-CC-NP-220902-007,레스큐 퀘스트 골드 (Rescue Quest Gold),넥스텝미디어주식회사,2022-08-18,2022-09-02,전체이용가,GC-DG-NP-22-00242,GCRB
281,81,GC-CC-NP-220902-006,Cult of the Lamb (컬트 오브 더 램),바다게임즈,2022-08-22,2022-09-02,15세이용가,GC-DG-NP-22-00254,GCRB
282,82,GC-CC-NP-220902-005,그녀의 세계,주식회사 테일즈샵,2022-08-16,2022-09-02,15세이용가,GC-DG-NP-22-00240,GCRB
283,83,GC-CC-NP-220902-004,천하제일검,주식회사킹콩소프트,2022-08-11,2022-09-02,15세이용가,GC-DG-NP-22-00237,GCRB
284,84,GC-CC-NP-220902-003,[PC] 페르소나3 포터블(PERSONA 3 PORTABLE),주식회사 세가퍼블리싱코리아,2022-08-18,2022-09-02,15세이용가,GC-DG-NP-22-00244,GCRB
285,85,GC-CC-NP-220902-002,메이플스토리M,주식회사 넥슨코리아,2022-08-09,2022-09-02,전체이용가,GC-DG-NP-22-00235,GCRB
286,86,GC-CC-NP-220902-001,소녀들의 은밀한 취미,스마일게이트스토브,2022-07-26,2022-09-02,15세이용가,GC-DG-NP-22-00227,GCRB
287,87,GC-CC-NV-220923-006,파이어 엠블렘 Engage(파이어 엠블렘 인게이지),한국닌텐도 주식회사,2022-09-16,2022-09-23,12세이용가,GC-DG-NV-22-00064,GCRB
288,88,GC-CC-NV-220923-005,AKAIKATANA SHIN (아카이카타나 진),(주)에이치투인터렉티브,2022-09-16,2022-09-23,12세이용가,GC-DG-NV-22-00063,GCRB
289,89,GC-CC-NV-220923-004,Sifu (시푸),(주)에이치투인터렉티브,2022-09-14,2022-09-23,15세이용가,GC-DG-NV-22-00062,GCRB
290,90,GC-CC-NP-220923-008,BLACKHOLE(블랙홀),세시소프트,2022-09-13,2022-09-23,전체이용가,GC-DG-NP-22-00264,GCRB
291,91,GC-CC-NP-220923-007,Park BEYOND(파크 비욘드),반다이남코엔터테인먼트코리아 주식회사,2022-09-07,2022-09-23,전체이용가,GC-DG-NP-22-00263,GCRB
292,92,GC-CC-NP-220923-006,아크마스터,주식회사킹콩소프트,2022-09-07,2022-09-23,15세이용가,GC-DG-NP-22-00262,GCRB
293,93,GC-CC-NV-220923-003,네오지오 포켓 컬러 셀렉션 Vol.2 (NEOGEO POCKET COLOR SELECTION Vol.2),주식회사 에스앤케이인터랙티브,2022-09-07,2022-09-23,12세이용가,GC-DG-NV-22-00060,GCRB
